time,address,binaryaddress,bank,row,column,delay,command
11595000, 91339584, 00000101011100011011101101000000, 0, 11149, 872, 331250, R
11642500, 121509568, 00000111001111100001011011000000, 0, 14832, 728, 331250, R
11690000, 126010944, 00000111100000101100011001000000, 0, 15382, 200, 331250, R
11737500, 52902656, 00000011001001110011101100000000, 0, 6457, 864, 331250, R
11785000, 52902720, 00000011001001110011101101000000, 0, 6457, 872, 288750, R
11790000, 52902784, 00000011001001110011101110000000, 0, 6457, 880, 288750, R
11795000, 52902848, 00000011001001110011101111000000, 0, 6457, 888, 288750, R
11832500, 52902912, 00000011001001110011110000000000, 0, 6457, 896, 256250, R
11880000, 52902976, 00000011001001110011110001000000, 0, 6457, 904, 213750, R
11927500, 52903040, 00000011001001110011110010000000, 0, 6457, 912, 171250, R
11975000, 52903104, 00000011001001110011110011000000, 0, 6457, 920, 128750, R
12022500, 52903168, 00000011001001110011110100000000, 0, 6457, 928, 86250, R
12070000, 52903232, 00000011001001110011110101000000, 0, 6457, 936, 43750, R
12075000, 52903296, 00000011001001110011110110000000, 0, 6457, 944, 43750, R
12080000, 52903360, 00000011001001110011110111000000, 0, 6457, 952, 43750, R
12085000, 52903424, 00000011001001110011111000000000, 0, 6457, 960, 43750, R
12090000, 52903488, 00000011001001110011111001000000, 0, 6457, 968, 43750, R
12095000, 52903552, 00000011001001110011111010000000, 0, 6457, 976, 43750, R
12100000, 52902592, 00000011001001110011101011000000, 0, 6457, 856, 43750, R
12105000, 78094528, 00000100101001111010000011000000, 0, 9533, 24, 71250, R
12110000, 34176704, 00000010000010010111111011000000, 0, 4171, 984, 113750, R
12115000, 11228544, 00000000101010110101010110000000, 0, 1370, 688, 156250, R
12120000, 11228608, 00000000101010110101010111000000, 0, 1370, 696, 156250, R
12125000, 11228672, 00000000101010110101011000000000, 0, 1370, 704, 156250, R
12130000, 11228736, 00000000101010110101011001000000, 0, 1370, 712, 156250, R
12135000, 11228800, 00000000101010110101011010000000, 0, 1370, 720, 156250, R
12140000, 11228864, 00000000101010110101011011000000, 0, 1370, 728, 156250, R
12145000, 11228928, 00000000101010110101011100000000, 0, 1370, 736, 156250, R
12177500, 11228992, 00000000101010110101011101000000, 0, 1370, 744, 128750, R
12225000, 11229056, 00000000101010110101011110000000, 0, 1370, 752, 86250, R
12272500, 11229120, 00000000101010110101011111000000, 0, 1370, 760, 43750, R
12277500, 11229184, 00000000101010110101100000000000, 0, 1370, 768, 43750, R
12282500, 11229248, 00000000101010110101100001000000, 0, 1370, 776, 43750, R
12287500, 11229312, 00000000101010110101100010000000, 0, 1370, 784, 43750, R
12292500, 11229376, 00000000101010110101100011000000, 0, 1370, 792, 43750, R
12297500, 11229440, 00000000101010110101100100000000, 0, 1370, 800, 43750, R
12302500, 11229504, 00000000101010110101100101000000, 0, 1370, 808, 43750, R
12307500, 11229568, 00000000101010110101100110000000, 0, 1370, 816, 43750, R
12312500, 11229632, 00000000101010110101100111000000, 0, 1370, 824, 43750, R
12317500, 11229696, 00000000101010110101101000000000, 0, 1370, 832, 43750, R
12322500, 11229760, 00000000101010110101101001000000, 0, 1370, 840, 43750, R
12327500, 11229824, 00000000101010110101101010000000, 0, 1370, 848, 43750, R
12332500, 11229888, 00000000101010110101101011000000, 0, 1370, 856, 43750, R
12337500, 11229952, 00000000101010110101101100000000, 0, 1370, 864, 43750, R
12342500, 11230016, 00000000101010110101101101000000, 0, 1370, 872, 43750, R
12347500, 11230080, 00000000101010110101101110000000, 0, 1370, 880, 43750, R
12352500, 11230144, 00000000101010110101101111000000, 0, 1370, 888, 43750, R
