address,addressgrowth,column,columngrowth,row,rowgrowth,time,timegrowth,delay
-38251008.0,-2.41276966800155,-320.0,-1.25,-4669.0,-2.412919896640827,5000.0,0.009852216748768471,156250.0
-38251008.0,-2.41276966800155,-320.0,-1.25,-4669.0,-2.412919896640827,5000.0,0.009852216748768471,156250.0
-4224128.0,-0.3632271201364812,368.0,0.5897435897435898,-516.0,-0.3636363636363637,5000.0,0.00975609756097561,198750.0
-4224128.0,-0.3632271201364812,368.0,0.5897435897435898,-516.0,-0.3636363636363637,5000.0,0.00975609756097561,198750.0
106442304.0,0.9015053085012448,-568.0,-10.142857142857142,12994.0,0.9015472143204052,5000.0,0.00966183574879227,241250.0
106442304.0,0.9015053085012448,-568.0,-10.142857142857142,12994.0,0.9015472143204052,5000.0,0.00966183574879227,241250.0
-51508096.0,-0.7738172042493825,400.0,0.8771929824561403,-6288.0,-0.7739076923076923,5000.0,0.009569377990430622,283750.0
-51508096.0,-0.7738172042493825,400.0,0.8771929824561403,-6288.0,-0.7739076923076923,5000.0,0.009569377990430622,283750.0
-29045696.0,-0.7741812772722776,392.0,0.4622641509433962,-3546.0,-0.7744048918977943,5000.0,0.009478672985781993,326250.0
-29045696.0,-0.7741812772722776,392.0,0.4622641509433962,-3546.0,-0.7744048918977943,5000.0,0.009478672985781993,326250.0
19499328.0,0.341989796777398,-728.0,-6.066666666666666,2381.0,0.3420977011494253,5000.0,0.009389671361502348,368750.0
19499328.0,0.341989796777398,-728.0,-6.066666666666666,2381.0,0.3420977011494253,5000.0,0.009389671361502348,368750.0
64.0,1.1224654729620515e-06,8.0,0.0625,0.0,0.0,32500.0,0.057522123893805316,411250.0
64.0,1.1224654729620515e-06,8.0,0.0625,0.0,0.0,32500.0,0.057522123893805316,411250.0
64.0,1.122464213034728e-06,8.0,0.05882352941176471,0.0,0.0,47500.0,0.07755102040816328,383750.0
64.0,1.122464213034728e-06,8.0,0.05882352941176471,0.0,0.0,47500.0,0.07755102040816328,383750.0
64.0,1.1224629531102327e-06,8.0,0.05555555555555555,0.0,0.0,47500.0,0.07196969696969698,341250.0
64.0,1.1224629531102327e-06,8.0,0.05555555555555555,0.0,0.0,47500.0,0.07196969696969698,341250.0
64.0,1.1224616931885657e-06,8.0,0.05263157894736842,0.0,0.0,47500.0,0.06713780918727916,298750.0
64.0,1.1224616931885657e-06,8.0,0.05263157894736842,0.0,0.0,47500.0,0.06713780918727916,298750.0
64.0,1.122460433269727e-06,8.0,0.05,0.0,0.0,47500.0,0.06291390728476821,256250.0
64.0,1.122460433269727e-06,8.0,0.05,0.0,0.0,47500.0,0.06291390728476821,256250.0
64.0,1.1224591733537172e-06,8.0,0.047619047619047616,0.0,0.0,47500.0,0.059190031152647975,213750.0
64.0,1.1224591733537172e-06,8.0,0.047619047619047616,0.0,0.0,47500.0,0.059190031152647975,213750.0
64.0,1.1224579134405356e-06,8.0,0.045454545454545456,0.0,0.0,47500.0,0.055882352941176466,171250.0
64.0,1.1224579134405356e-06,8.0,0.045454545454545456,0.0,0.0,47500.0,0.055882352941176466,171250.0
64.0,1.1224566535301823e-06,8.0,0.043478260869565216,0.0,0.0,47500.0,0.052924791086350974,128750.0
64.0,1.1224566535301823e-06,8.0,0.043478260869565216,0.0,0.0,47500.0,0.052924791086350974,128750.0
64.0,1.1224553936226574e-06,8.0,0.04166666666666666,0.0,0.0,47500.0,0.05026455026455026,86250.0
64.0,1.1224553936226574e-06,8.0,0.04166666666666666,0.0,0.0,47500.0,0.05026455026455026,86250.0
64.0,1.122454133717961e-06,8.0,0.04,0.0,0.0,5000.0,0.005263157894736842,43750.0
-37992704.0,-1.9970799187221615,224.0,0.7777777777777778,-4638.0,-1.9974160206718343,5000.0,0.004807692307692308,43750.0
48165312.0,0.7168583634571147,568.0,0.6635514018691588,5879.0,0.7168637970979149,5000.0,0.004784688995215311,71250.0
48165312.0,0.7168583634571147,568.0,0.6635514018691588,5879.0,0.7168637970979149,5000.0,0.004784688995215311,71250.0
64415296.0,0.4894603185101181,-824.0,-25.75,7864.0,0.4895113600995954,5000.0,0.0047619047619047615,113750.0
