Addressdiff,addressgrowth,Columndiff,columngrowth,Rowdiff,rowgrowth,timediff,timegrowth,delay
64.0,0.043478260869565216,8.0,0.043478260869565216,0.0,0.0,5000.0,0.04878048780487805,43750.0
64.0,0.041666666666666664,8.0,0.041666666666666664,0.0,0.0,5000.0,0.046511627906976744,43750.0
64.0,0.04,8.0,0.04,0.0,0.0,5000.0,0.044444444444444446,43750.0
64.0,0.038461538461538464,8.0,0.038461538461538464,0.0,0.0,5000.0,0.0425531914893617,43750.0
64.0,0.037037037037037035,8.0,0.037037037037037035,0.0,0.0,5000.0,0.04081632653061224,43750.0
64.0,0.03571428571428571,8.0,0.03571428571428571,0.0,0.0,5000.0,0.0392156862745098,43750.0
64.0,0.034482758620689655,8.0,0.034482758620689655,0.0,0.0,5000.0,0.03773584905660377,43750.0
64.0,0.03333333333333333,8.0,0.03333333333333333,0.0,0.0,5000.0,0.03636363636363636,43750.0
64.0,0.03225806451612903,8.0,0.03225806451612903,0.0,0.0,5000.0,0.03508771929824561,43750.0
64.0,0.03125,8.0,0.03125,0.0,0.0,5000.0,0.03389830508474576,43750.0
64.0,0.030303030303030304,8.0,0.030303030303030304,0.0,0.0,5000.0,0.03278688524590164,43750.0
64.0,0.029411764705882353,8.0,0.029411764705882353,0.0,0.0,5000.0,0.031746031746031744,43750.0
64.0,0.02857142857142857,8.0,0.02857142857142857,0.0,0.0,5000.0,0.03076923076923077,43750.0
64.0,0.027777777777777776,8.0,0.027777777777777776,0.0,0.0,5000.0,0.029850746268656716,43750.0
64.0,0.02702702702702703,8.0,0.02702702702702703,0.0,0.0,5000.0,0.028985507246376812,43750.0
64.0,0.02631578947368421,8.0,0.02631578947368421,0.0,0.0,5000.0,0.028169014084507043,43750.0
64.0,0.02564102564102564,8.0,0.02564102564102564,0.0,0.0,5000.0,0.0273972602739726,43750.0
64.0,0.025,8.0,0.025,0.0,0.0,5000.0,0.02666666666666667,43750.0
64.0,0.024390243902439025,8.0,0.024390243902439025,0.0,0.0,5000.0,0.025974025974025976,43750.0
64.0,0.023809523809523808,8.0,0.023809523809523808,0.0,0.0,5000.0,0.02531645569620253,43750.0
64.0,0.023255813953488372,8.0,0.023255813953488372,0.0,0.0,5000.0,0.024691358024691357,43750.0
