time,address,binaryaddress,bank,row,column,delay,command
1010000, 57018688, 00000011011001100000100101000000, 0, 6960, 296, 43750, R
1015000, 57018752, 00000011011001100000100110000000, 0, 6960, 304, 43750, R
1020000, 57018816, 00000011011001100000100111000000, 0, 6960, 312, 43750, R
1025000, 57018880, 00000011011001100000101000000000, 0, 6960, 320, 43750, R
1030000, 57018944, 00000011011001100000101001000000, 0, 6960, 328, 43750, R
1035000, 57016832, 00000011011001100000001000000000, 0, 6960, 64, 43750, R
1040000, 19024128, 00000001001000100100100100000000, 0, 2322, 288, 71250, R
1045000, 67189440, 00000100000000010011101011000000, 0, 8201, 856, 113750, R
1050000, 131604736, 00000111110110000010000100000000, 0, 16065, 32, 156250, R
1055000, 77196032, 00000100100110011110101100000000, 0, 9423, 352, 198750, R
1060000, 14084480, 00000000110101101110100110000000, 0, 1719, 304, 241250, R
1065000, 68536896, 00000100000101011100101001000000, 0, 8366, 328, 283750, R
1070000, 21259136, 00000001010001000110001110000000, 0, 2595, 112, 326250, R
1075000, 34364544, 00000010000011000101110010000000, 0, 4194, 912, 368750, R
1080000, 76469248, 00000100100011101101010000000000, 0, 9334, 640, 411250, R
1112500, 55110720, 00000011010010001110110001000000, 0, 6727, 392, 426250, R
1160000, 115934528, 00000110111010010000010101000000, 0, 14152, 168, 426250, R
1207500, 33270464, 00000001111110111010101011000000, 0, 4061, 344, 426250, R
1255000, 118307328, 00000111000011010011101000000000, 0, 14441, 832, 426250, R
1302500, 51491392, 00000011000100011011001001000000, 0, 6285, 584, 426250, R
1350000, 17041536, 00000001000001000000100010000000, 0, 2080, 272, 426250, R
1397500, 123048000, 00000111010101011001000001000000, 0, 15020, 520, 426250, R
1445000, 37471168, 00000010001110111100001111000000, 0, 4574, 120, 426250, R
1492500, 52277184, 00000011000111011010111111000000, 0, 6381, 504, 426250, R
1540000, 113951616, 00000110110010101100001110000000, 0, 13910, 112, 426250, R
1587500, 101465344, 00000110000011000011110100000000, 0, 12385, 928, 426250, R
1635000, 16476160, 00000000111110110110100000000000, 0, 2011, 256, 426250, R
1682500, 59672256, 00000011100011101000011011000000, 0, 7284, 216, 426250, R
1730000, 82049728, 00000100111000111111101011000000, 0, 10015, 856, 426250, R
1777500, 133399616, 00000111111100111000010001000000, 0, 16284, 136, 426250, R
1825000, 17604864, 00000001000011001010000100000000, 0, 2149, 32, 426250, R
1872500, 59627456, 00000011100011011101011111000000, 0, 7278, 760, 426250, R
1920000, 14128832, 00000000110101111001011011000000, 0, 1724, 728, 426250, R
1967500, 129866048, 00000111101111011001100101000000, 0, 15852, 808, 426250, R
2015000, 91337856, 00000101011100011011010010000000, 0, 11149, 656, 426250, R
2062500, 52416960, 00000011000111111101000111000000, 0, 6398, 568, 426250, R
2110000, 15982592, 00000000111100111110000000000000, 0, 1951, 0, 426250, R
2157500, 94820928, 00000101101001101101101001000000, 0, 11574, 840, 426250, R
2205000, 87360, 00000000000000010101010101000000, 0, 10, 680, 426250, R
2252500, 85012352, 00000101000100010010111110000000, 0, 10377, 496, 426250, R
2300000, 74864320, 00000100011101100101011011000000, 0, 9138, 728, 426250, R
2347500, 6556480, 00000000011001000000101101000000, 0, 800, 360, 426250, R
2395000, 43202560, 00000010100100110011100000000000, 0, 5273, 768, 426250, R
2442500, 43202624, 00000010100100110011100001000000, 0, 5273, 776, 383750, R
2490000, 43202688, 00000010100100110011100010000000, 0, 5273, 784, 341250, R
2537500, 43202752, 00000010100100110011100011000000, 0, 5273, 792, 298750, R
2585000, 43202816, 00000010100100110011100100000000, 0, 5273, 800, 256250, R
2632500, 43202880, 00000010100100110011100101000000, 0, 5273, 808, 213750, R
2680000, 43202944, 00000010100100110011100110000000, 0, 5273, 816, 171250, R
2727500, 43203008, 00000010100100110011100111000000, 0, 5273, 824, 128750, R
2775000, 43203072, 00000010100100110011101000000000, 0, 5273, 832, 86250, R
2822500, 43203136, 00000010100100110011101001000000, 0, 5273, 840, 43750, R
2827500, 43203200, 00000010100100110011101010000000, 0, 5273, 848, 43750, R
2832500, 43203264, 00000010100100110011101011000000, 0, 5273, 856, 43750, R
2837500, 43203328, 00000010100100110011101100000000, 0, 5273, 864, 43750, R
2842500, 43203392, 00000010100100110011101101000000, 0, 5273, 872, 43750, R
2847500, 43203456, 00000010100100110011101110000000, 0, 5273, 880, 43750, R
2852500, 43203520, 00000010100100110011101111000000, 0, 5273, 888, 43750, R
2857500, 43203584, 00000010100100110011110000000000, 0, 5273, 896, 43750, R
2862500, 43203648, 00000010100100110011110001000000, 0, 5273, 904, 43750, R
2867500, 43203712, 00000010100100110011110010000000, 0, 5273, 912, 43750, R
2872500, 43203776, 00000010100100110011110011000000, 0, 5273, 920, 43750, R
2877500, 43203840, 00000010100100110011110100000000, 0, 5273, 928, 43750, R
2882500, 43203904, 00000010100100110011110101000000, 0, 5273, 936, 43750, R
2887500, 43203968, 00000010100100110011110110000000, 0, 5273, 944, 43750, R
2892500, 43204032, 00000010100100110011110111000000, 0, 5273, 952, 43750, R
2897500, 43204096, 00000010100100110011111000000000, 0, 5273, 960, 43750, R
